BatteryID,Model,StartDate,MaxCycles
LPO-4S-2-001,4S 2200mAh (LiPo),2026-01-01,300
LPO-4S-2-002,4S 2200mAh (LiPo),2026-01-01,300
LPO-4S-2-003,4S 2200mAh (LiPo),2026-01-01,300
LPO-4S-2-004,4S 2200mAh (LiPo),2026-01-01,300
LPO-4S-3-001,4S 3400mAh (LiPo),2026-01-01,300
LPO-4S-3-002,4S 3400mAh (LiPo),2026-01-01,300
LPO-4S-4-001,4S 4200mAh (LiPo),2026-01-01,300
LPO-4S-8-001,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-8-002,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-8-003,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-8-004,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-8-005,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-8-006,4S 8000mAh (LiPo),2026-01-01,300
LPO-4S-30-001,4S 30000mAh (LiPo),2026-01-01,300
LPO-4S-30-002,4S 30000mAh (LiPo),2026-01-01,300
LPO-6S-1-001,6S 1380mAh (LiPo),2026-01-01,300
LPO-6S-1-002,6S 1380mAh (LiPo),2026-01-01,300
LPO-6S-1-003,6S 1380mAh (LiPo),2026-01-01,300
LPO-6S-1-004,6S 1380mAh (LiPo),2026-01-01,300
LPO-6S-1-005,6S 1380mAh (LiPo),2026-01-01,300
LPO-6S-5-001,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-5-002,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-5-003,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-5-004,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-5-005,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-5-006,6S 5200mAh (LiPo),2026-01-01,300
LPO-6S-6-001,6S 6000mAh (LiPo),2026-01-01,300
LPO-6S-6-002,6S 6000mAh (LiPo),2026-01-01,300
LPO-6S-8-001,6S 8000mAh (LiPo),2026-01-01,300
LPO-6S-8-002,6S 8000mAh (LiPo),2026-01-01,300
LPO-6S-8-003,6S 8200mAh (LiPo),2026-01-01,300
LPO-6S-8-004,6S 8200mAh (LiPo),2026-01-01,300
LPO-6S-8-005,6S 8200mAh (LiPo),2026-01-01,300
LPO-6S-8-006,6S 8200mAh (LiPo),2026-01-01,300
LPO-6S-10-001,6S 10000mAh (LiPo),2026-01-01,300
LPO-6S-10-002,6S 10000mAh (LiPo),2026-01-01,300
LPO-6S-10-003,6S 10000mAh (LiPo),2026-01-01,300
LPO-6S-16-001,6S 16000mAh (LiPo),2026-01-01,300
LPO-6S-16-002,6S 16000mAh (LiPo),2026-01-01,300
LPO-6S-16-003,6S 16000mAh (LiPo),2026-01-01,300
LPO-6S-16-004,6S 16000mAh (LiPo),2026-01-01,300
LPO-6S-22-001,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-002,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-003,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-004,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-005,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-006,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-007,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-008,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-009,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-010,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-011,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-012,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-013,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-014,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-015,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-016,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-017,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-018,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-019,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-020,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-22-021,6S 22000mAh (LiPo),2026-01-01,300
LPO-6S-30-001,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-002,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-003,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-004,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-005,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-006,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-007,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-008,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-009,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-010,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-011,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-012,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-013,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-014,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-015,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-016,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-017,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-018,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-019,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-020,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-021,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-022,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-023,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-024,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-025,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-026,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-027,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-028,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-029,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-030,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-031,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-032,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-033,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-034,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-035,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-036,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-037,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-038,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-039,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-040,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-041,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-042,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-043,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-044,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-045,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-046,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-047,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-048,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-049,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-050,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-051,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-052,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-053,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-054,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-055,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-056,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-057,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-058,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-059,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-060,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-061,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-062,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-063,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-064,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-065,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-066,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-067,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-068,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-069,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-070,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-071,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-072,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-073,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-074,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-075,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-076,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-077,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-078,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-079,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-080,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-081,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-30-082,6S 30000mAh (LiPo),2026-01-01,300
LPO-6S-35-001,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-002,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-003,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-004,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-005,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-006,6S 35000mAh (LiPo),2026-01-01,300
LPO-6S-35-007,6S 35000mAh (LiPo),2026-01-01,300
LPO-7S-19-001,7S 19200mAh (LiPo),2026-01-01,300
LPO-7S-19-002,7S 19200mAh (LiPo),2026-01-01,300
LPO-7S-28-001,7S 28000mAh (LiPo),2026-01-01,300
LPO-7S-28-002,7S 28000mAh (LiPo),2026-01-01,300
LPO-7S-28-003,7S 28000mAh (LiPo),2026-01-01,300
LPO-7S-28-004,7S 28000mAh (LiPo),2026-01-01,300
LPO-7S-35-001,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-002,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-003,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-004,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-005,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-006,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-007,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-008,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-009,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-010,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-011,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-012,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-013,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-014,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-015,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-016,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-017,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-018,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-019,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-020,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-021,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-022,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-023,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-024,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-025,7S 35000mAh (LiPo),2026-01-01,300
LPO-7S-35-026,7S 35000mAh (LiPo),2026-01-01,300
